ogrid	relation	dgrid	m
34	0	87	34
34	0	88	12
34	0	90	169
34	0	91	161
34	0	92	839
34	0	94	231048
34	0	95	254
34	0	96	637
34	0	97	119
34	0	98	25
34	0	100	45
34	0	101	48
34	0	103	115
34	0	104	34
34	0	129	17
34	0	133	15
34	0	134	11
34	0	135	43
34	0	151	410
34	0	155	10
34	0	158	12
34	0	176	12
35	0	16	40
35	0	19	10
35	0	36	188405
35	0	44	18
35	0	45	261
35	0	46	11
35	0	48	115578
35	0	49	68
35	0	50	189
35	0	51	166
35	0	54	20
35	0	56	10
35	0	60	13
35	0	70	176
35	0	71	119071
35	0	72	10602
35	0	74	12
35	0	75	44
35	0	76	132
35	0	77	26
35	0	78	64
35	0	79	145
35	0	99	27
35	0	100	155
35	0	103	286
35	0	104	24
36	0	16	29
36	0	19	36
36	0	35	189252
36	0	45	50880
36	0	48	2356
36	0	49	18
36	0	50	15695
36	0	51	36
36	0	54	21
36	0	70	16354
36	0	71	245
36	0	72	44497
36	0	73	11
36	0	75	18
36	0	76	176
36	0	77	51
36	0	78	31
36	0	79	22
36	0	99	96
36	0	100	63
36	0	101	12
36	0	103	376
37	0	38	9883
37	0	39	464387
37	0	41	39
37	0	42	8805
37	0	61	30
37	0	62	151
37	0	64	128546
37	0	65	43
37	0	66	51
37	0	90	19
37	0	94	14
37	0	95	16
37	0	97	14
37	0	105	24
37	0	106	88
37	0	108	11
37	0	140	213
38	0	0	19
38	0	2	14
38	0	8	25
38	0	12	24
38	0	16	23
38	0	18	29
38	0	19	77
38	0	37	9882
38	0	39	95591
38	0	40	33
38	0	41	82
38	0	42	50204
38	0	52	21
38	0	54	13
38	0	55	14
38	0	56	61
38	0	57	8393
38	0	58	57
38	0	59	77
38	0	60	24
38	0	61	67
38	0	62	286
38	0	64	256506
38	0	65	142
38	0	66	157
38	0	67	22
38	0	68	24
38	0	69	117
38	0	76	106
38	0	90	138
38	0	91	21
38	0	92	22
38	0	93	12
38	0	94	67
38	0	95	87
38	0	96	27
38	0	97	62
38	0	98	25
38	0	105	447
38	0	106	182587
38	0	107	114
38	0	108	130
38	0	109	38693
38	0	110	90
38	0	175	11
39	0	0	54
39	0	1	11
39	0	2	40
39	0	8	189
39	0	12	14
39	0	13	27
39	0	16	27
39	0	18	31
39	0	19	209
39	0	20	17
39	0	21	220
39	0	25	25
39	0	29	12
39	0	34	29
39	0	37	467516
39	0	38	90523
39	0	40	443
39	0	41	126990
39	0	42	419823
39	0	52	32
39	0	53	21
39	0	54	15
39	0	56	31
39	0	57	56
39	0	58	43
39	0	59	100
39	0	60	29
39	0	61	145769
39	0	62	315339
39	0	63	119
39	0	64	108864
39	0	65	26271
39	0	66	848
39	0	67	35
39	0	68	20
39	0	69	48
39	0	70	13
39	0	76	11
39	0	77	11
39	0	78	28
39	0	79	10
39	0	90	187
39	0	91	42
39	0	92	74
39	0	93	50
39	0	94	232
39	0	95	215
39	0	96	92
39	0	97	194
39	0	98	93
39	0	103	10
39	0	105	263
39	0	106	72882
39	0	107	41
39	0	108	376
39	0	109	130
39	0	110	72
39	0	132	10
39	0	133	87
39	0	140	231
39	0	149	10
39	0	150	26
39	0	151	10
39	0	158	14
39	0	172	51
39	0	174	17
39	0	175	99
40	0	16	46
40	0	18	34
40	0	19	413
40	0	20	64
40	0	21	89080
40	0	24	12
40	0	25	24239
40	0	38	47
40	0	39	398
40	0	41	68903
40	0	42	16
40	0	52	16
40	0	56	12
40	0	58	54
40	0	60	14
40	0	61	120279
40	0	62	40
40	0	64	28
40	0	65	10
40	0	66	108
40	0	70	13
40	0	79	13
40	0	94	12
40	0	95	10
40	0	96	10
40	0	105	164
40	0	106	48
40	0	107	10
40	0	108	20481
40	0	110	43
40	0	150	47
40	0	155	13
40	0	158	17
40	0	171	19
40	0	172	63
40	0	173	40
40	0	174	23
40	0	175	284
41	0	8	16
41	0	19	314
41	0	21	272
41	0	25	16
41	0	37	48
41	0	38	87
41	0	39	112530
41	0	40	61417
41	0	42	44
41	0	45	10
41	0	52	23
41	0	54	13
41	0	56	19
41	0	58	139
41	0	60	13
41	0	61	53509
41	0	62	142
41	0	64	92
41	0	65	45
41	0	66	80
41	0	90	10
41	0	92	10
41	0	94	19
41	0	95	15
41	0	96	12
41	0	97	10
41	0	105	42206
41	0	106	74514
41	0	107	15
41	0	108	103580
41	0	110	105
41	0	150	18
41	0	158	11
41	0	172	23
41	0	174	12
41	0	175	43
42	0	37	8167
42	0	38	53665
42	0	39	417559
42	0	40	17
42	0	41	52
42	0	61	26
42	0	62	52
42	0	64	63
42	0	65	12
42	0	66	21
42	0	105	13
42	0	106	154
42	0	109	12
43	0	26	23
43	0	44	27
43	0	46	195183
43	0	47	30
43	0	48	33
43	0	49	131
43	0	50	28
43	0	51	2692
43	0	71	10
43	0	100	326
43	0	103	657
44	0	26	33238
44	0	35	16
44	0	43	29
44	0	46	50
44	0	47	44722
44	0	48	149
44	0	49	143810
44	0	50	119
44	0	51	242598
44	0	77	12
44	0	175	270
45	0	16	17
45	0	19	122
45	0	35	245
45	0	36	49313
45	0	43	12
45	0	44	10
45	0	48	83
45	0	49	290
45	0	50	72571
45	0	51	202
45	0	54	75
45	0	56	44
45	0	57	23
45	0	58	22
45	0	59	15
45	0	60	49
45	0	61	18
45	0	64	10
45	0	70	148435
45	0	71	93
45	0	72	78
45	0	74	21
45	0	75	63
45	0	76	310
45	0	77	46
45	0	78	18
45	0	79	21
45	0	83	16
45	0	91	10
45	0	99	64537
45	0	100	226
45	0	101	64
45	0	102	14
45	0	103	438
45	0	104	47
45	0	105	17
46	0	26	97
46	0	35	10
46	0	43	191976
46	0	44	41
46	0	47	98
46	0	48	43
46	0	49	194
46	0	50	19
46	0	51	90444
46	0	103	64
47	0	26	152021
47	0	43	33
47	0	44	43309
47	0	46	124
47	0	48	47
47	0	49	305
47	0	50	37
47	0	51	179642
47	0	100	61
47	0	103	66
48	0	16	24
48	0	19	21
48	0	26	39
48	0	35	149158
48	0	36	2511
48	0	43	30
48	0	44	204
48	0	45	90
48	0	46	50
48	0	47	34
48	0	49	513
48	0	50	60461
48	0	51	105669
48	0	52	22
48	0	54	23
48	0	56	10
48	0	60	10
48	0	61	10
48	0	70	41
48	0	71	643
48	0	72	291
48	0	75	36
48	0	76	64
48	0	77	14
48	0	78	29
48	0	79	109
48	0	99	28
48	0	100	468
48	0	103	1047
48	0	106	14
49	0	20	10
49	0	26	118351
49	0	35	58
49	0	36	10
49	0	43	120
49	0	44	148590
49	0	45	273
49	0	46	191
49	0	47	224
49	0	48	597
49	0	50	37776
49	0	51	710436
49	0	70	19
49	0	71	36
49	0	72	24
49	0	76	25
49	0	79	35
49	0	83	10
49	0	99	18
49	0	100	12
49	0	103	88
49	0	175	96
50	0	16	21
50	0	26	54
50	0	35	144
50	0	36	12828
50	0	43	22
50	0	44	88
50	0	45	73156
50	0	46	17
50	0	47	19
50	0	48	70314
50	0	49	32847
50	0	51	81031
50	0	70	118
50	0	71	40
50	0	72	29
50	0	75	13
50	0	76	66
50	0	79	22
50	0	83	14
50	0	99	361
50	0	100	194
50	0	101	14
50	0	103	1038
50	0	104	46
51	0	19	13
51	0	26	96586
51	0	35	171
51	0	36	26
51	0	43	3946
51	0	44	235517
51	0	45	174
51	0	46	83562
51	0	47	169225
51	0	48	138208
51	0	49	698790
51	0	50	87488
51	0	54	13
51	0	56	12
51	0	60	10
51	0	70	26
51	0	71	103
51	0	72	41
51	0	75	42
51	0	76	45
51	0	77	44
51	0	78	13
51	0	79	34
51	0	99	49
51	0	100	162
51	0	101	31
51	0	103	1034
51	0	104	19
52	0	0	10
52	0	16	101638
52	0	18	359
52	0	19	54
52	0	20	102
52	0	29	12
52	0	38	34
52	0	39	26
52	0	40	10
52	0	41	19
52	0	48	20
52	0	53	16
52	0	54	16
52	0	55	286
52	0	56	222
52	0	57	24
52	0	58	246355
52	0	60	11985
52	0	61	24
52	0	62	11
52	0	64	20
52	0	67	19
52	0	68	30
52	0	69	22
52	0	71	41
52	0	73	14
52	0	78	10
52	0	79	210
52	0	80	14
52	0	105	66920
52	0	106	126
52	0	107	21
52	0	108	54
52	0	110	1016
53	0	8	10
53	0	19	19
53	0	20	12
53	0	28	22
53	0	29	82
53	0	31	144
53	0	34	25
53	0	38	18
53	0	39	21
53	0	52	17
53	0	54	265
53	0	55	29
53	0	56	10640
53	0	57	180
53	0	58	21
53	0	59	79
53	0	60	31907
53	0	61	16
53	0	62	15
53	0	64	53
53	0	67	71861
53	0	68	325
53	0	69	112
53	0	70	13
53	0	71	17
53	0	75	38
53	0	76	14
53	0	79	17
53	0	80	66
53	0	81	71657
53	0	82	191
53	0	83	24
53	0	84	428784
53	0	85	72
53	0	86	177
53	0	87	24
53	0	88	49931
53	0	89	45
53	0	94	11
53	0	95	10
53	0	100	35
53	0	101	14
53	0	103	20
53	0	105	14
53	0	109	22
54	0	35	24
54	0	36	27
54	0	38	29
54	0	39	24
54	0	45	125
54	0	48	18
54	0	49	16
54	0	50	14
54	0	51	18
54	0	52	10
54	0	53	270
54	0	55	33
54	0	56	758
54	0	57	84
54	0	58	75
54	0	59	42
54	0	60	334691
54	0	61	28
54	0	64	58
54	0	65	14
54	0	66	10
54	0	67	16
54	0	68	32
54	0	69	73
54	0	70	345
54	0	72	105
54	0	73	12
54	0	74	130
54	0	75	210215
54	0	76	741
54	0	77	509
54	0	78	155
54	0	79	48
54	0	80	23823
54	0	81	31
54	0	86	7226
54	0	88	580
54	0	89	11
54	0	90	14
54	0	91	13
